 Desplazamiento Bala, Velocidad Bala, Estatus, -638 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -626 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -614 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -602 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -590 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -578 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -566 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -553 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -541 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -529 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -517 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -505 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -493 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -481 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -469 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -456 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -444 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -432 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -420 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -408 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -396 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -384 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -371 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -359 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -347 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -335 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -323 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -311 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -299 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -287 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -274 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -262 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -250 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -238 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -226 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -214 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -202 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -189 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -177 -364 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -165 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -153 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -141 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -129 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -117 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -105 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -92 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -80 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -68 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -56 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -44 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -32 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -20 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -7 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 5 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 17 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 29 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 41 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -364 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -424 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -636 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -622 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -608 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -594 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -580 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -566 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -552 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -537 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -523 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -509 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -495 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -481 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -467 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -453 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -439 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -424 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -410 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -396 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -382 -424 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -368 -424 1,0
